opd_date	rte	dir	day_of_week	is_ns	is_rapid	is_weekend	orca_total	frac_disabled	frac_youth	frac_senior	frac_li	frac_uw	ons	region	start	end	type	summer
2019-01-07	76	S	0	1.0	0.0	0.0	902.0	0.0022070015220700154	0.04837343867024232	0.01141733710226861	0.005675146771037182	0.01542998477929985	988.0	Seattle	Wedgwood	Downtown Seattle	Conventional	False
2019-01-07	77	S	0	1.0	0.0	0.0	195.0	0.004166666666666667	0.003298611111111111	0.013125	0.01375	0.02	219.0	Seattle	North City	Downtown Seattle	Conventional	False
2019-01-07	101	N	0	1.0	0.0	0.0	280.0	0.02119047619047619	0.02746031746031746	0.005628815628815629	0.0497787926359355	0.007985347985347986	472.0	South King County	Downtown Seattle	South Renton P&R	Conventional	False
2019-01-07	102	N	0	1.0	0.0	0.0	103.0	0.014109347442680775	0.015873015873015872	0.011904761904761904	0.0068783068783068784	0.004782254782254782	179.0	South King County	Downtown Seattle	Fairwood	Conventional	False
2019-01-07	102	S	0	1.0	0.0	0.0	210.0	0.00686132320948684	0.00516323280581268	0.0009331143624962676	0.005655934066614395	0.011576996183555878	358.0	South King County	Downtown Seattle	Fairwood	Conventional	False
2019-01-07	106	N	0	1.0	0.0	0.0	69.0	0.027192297684100964	0.026411657559198547	0.017174082747853238	0.02023158990372105	0.01912568306010929	138.0	South King County	International District/Chinatown station	Renton	Conventional	False
2019-01-07	106	S	0	1.0	0.0	0.0	83.0	0.02687265917602996	0.06689406099518459	0.03745318352059925	0.004681647940074906	0.0014044943820224719	166.0	South King County	International District/Chinatown station	Renton	Conventional	False
2019-01-07	107	N	0	1.0	0.0	0.0	854.0	0.007579173376274825	0.03844661648503913	0.012624798711755232	0.018611891298106337	0.005942028985507246	1335.0	South King County	Beacon Hill station	Renton	Conventional	False
2019-01-07	107	S	0	1.0	0.0	0.0	917.0	0.009240173578793308	0.029976301217369977	0.008475695745696295	0.013659648128810858	0.003382637879153188	1335.0	South King County	Beacon Hill station	Renton	Conventional	False
2019-01-07	111	N	0	1.0	0.0	0.0	476.0	0.002347417840375587	0.005322612559135143	0.0025721279242406003	0.004579327818764438	0.011451506474552117	517.0	South King County	Downtown Seattle	Lake Kathleen	Conventional	False
2019-01-07	111	S	0	1.0	0.0	0.0	394.0	0.0037313432835820895	0.0032649253731343282	0.0008518162294119464	0.0003109452736318408	0.007074423431496761	433.0	South King County	Downtown Seattle	Lake Kathleen	Conventional	False
2019-01-07	113	S	0	1.0	0.0	0.0	49.0	0.0	0.0	0.0015432098765432098	0.0	0.0023148148148148147	53.0	South King County	Downtown Seattle	Shorewood	Conventional	False
2019-01-07	114	N	0	1.0	0.0	0.0	104.0	0.005555555555555556	0.0	0.004629629629629629	0.01574074074074074	0.007037037037037037	120.0	South King County	Downtown Seattle	Renton	Conventional	False
2019-01-07	116	N	0	1.0	0.0	0.0	273.0	0.006078224101479915	0.008490427531125205	0.005109231853417899	0.010585086747877446	0.020436927413671598	323.0	South King County	Downtown Seattle	Fauntleroy Ferry Terminal	Conventional	False
2019-01-07	116	S	0	1.0	0.0	0.0	174.0	0.0036666666666666666	0.0016	0.0096	0.010666666666666666	0.004	198.0	South King County	Downtown Seattle	Fauntleroy Ferry Terminal	Conventional	False
2019-01-07	118	N	0	1.0	0.0	0.0	199.0	0.004629629629629629	0.02776308054085832	0.018950617283950616	0.004320987654320987	0.013203997648442092	302.0	South King County	Vashon Island Ferry Terminal	Tahlequah Ferry Terminal	Conventional	False
2019-01-07	118	S	0	1.0	0.0	0.0	166.0	0.0012626262626262627	0.016646052360338077	0.01945887445887446	0.008194186765615336	0.012117932572478026	267.0	South King County	Vashon Island Ferry Terminal	Tahlequah Ferry Terminal	Conventional	False
2019-01-07	119	N	0	1.0	0.0	0.0	113.0	0.0007751937984496124	0.025193798449612403	0.012596899224806201	0.00400516795865633	0.020690291620524177	149.0	South King County	Vashon Island Ferry Terminal	Dockton	Conventional	False
2019-01-07	119	S	0	1.0	0.0	0.0	77.0	0.010752688172043012	0.01827956989247312	0.009358821186778176	0.012903225806451613	0.005247499238644084	162.0	South King County	Vashon Island Ferry Terminal	Dockton	Conventional	False
2019-01-07	120	N	0	1.0	0.0	0.0	530.0	0.023476311644250573	0.031015994183933113	0.010935417423967041	0.04111535199321458	0.008502968617472434	1003.0	South King County	Downtown Seattle	Burien Transit Center	Conventional	False
2019-01-07	120	S	0	1.0	0.0	0.0	548.0	0.020667633894780706	0.02694057808527419	0.012935164250953722	0.02682737776228081	0.005764649324206111	1007.0	South King County	Downtown Seattle	Burien Transit Center	Conventional	False
2019-01-07	121	N	0	1.0	0.0	0.0	191.0	0.010523497121435268	0.0002147766323024055	0.007087628865979381	0.01577631990003124	0.010034066735097663	221.0	South King County	Downtown Seattle	Highline College	Conventional	False
2019-01-07	122	N	0	1.0	0.0	0.0	126.0	0.0058823529411764705	0.00784313725490196	0.00392156862745098	0.002427637721755369	0.01568627450980392	166.0	South King County	Downtown Seattle	Highline College	Conventional	False
2019-01-07	122	S	0	1.0	0.0	0.0	68.0	0.003263052208835341	0.006024096385542169	0.0006693440428380187	0.01255020080321285	0.001004016064257028	94.0	South King County	Downtown Seattle	Highline College	Conventional	False
2019-01-07	123	N	0	1.0	0.0	0.0	122.0	0.021286231884057972	0.0020833333333333333	0.0033727217830478696	0.023463804713804715	0.018860479797979796	137.0	South King County	Downtown Seattle	Seahurst	Conventional	False
2019-01-07	123	S	0	1.0	0.0	0.0	47.0	0.0	0.0	0.009009009009009009	0.0031906906906906908	0.0031906906906906908	51.0	South King County	Downtown Seattle	Seahurst	Conventional	False
2019-01-07	124	N	0	1.0	0.0	0.0	797.0	0.0159388202923823	0.004290793736704027	0.006451466543814828	0.027511133447808915	0.0027892951375800977	1569.0	South King County	Downtown Seattle	Tukwila	Conventional	False
2019-01-07	124	S	0	1.0	0.0	0.0	889.0	0.012141257654693354	0.007157709532949456	0.009514449881532418	0.032653331153811006	0.0019399506443652317	1766.0	South King County	Downtown Seattle	Tukwila	Conventional	False
2019-01-07	125	N	0	1.0	0.0	0.0	107.0	0.009114583333333332	0.03135416666666667	0.008854166666666666	0.017708333333333333	0.003645833333333333	158.0	South King County	Downtown Seattle	Westwood Village	Conventional	False
2019-01-07	125	S	0	1.0	0.0	0.0	146.0	0.003076923076923077	0.021749622926093514	0.006206636500754148	0.01214070243482008	0.005400416576887165	207.0	South King County	Downtown Seattle	Westwood Village	Conventional	False
2019-01-07	128	N	0	1.0	0.0	0.0	97.0	0.008509142053445851	0.023734177215189875	0.007454289732770745	0.010443037974683544	0.004571026722925458	202.0	South King County	Admiral District	Southcenter	Conventional	False
2019-01-07	128	S	0	1.0	0.0	0.0	112.0	0.017879948914431676	0.033556832694763734	0.005427841634738187	0.016602809706257982	0.0038314176245210726	274.0	South King County	Admiral District	Southcenter	Conventional	False
2019-01-07	131	N	0	1.0	0.0	0.0	992.0	0.021456009304306523	0.01474806296787721	0.010931741117499632	0.033659311677887535	0.008533179353612788	1620.0	South King County	Downtown Seattle	Burien Transit Center	Conventional	False
2019-01-07	131	S	0	1.0	0.0	0.0	899.0	0.026001353718745023	0.010616295942382897	0.008621993948080903	0.030405584753410847	0.004746421050768878	1606.0	South King County	Downtown Seattle	Burien Transit Center	Conventional	False
2019-01-07	132	N	0	1.0	0.0	0.0	664.0	0.018747173224785165	0.010688979345695761	0.0076511382481531725	0.027887618186125653	0.0028644655510327156	1200.0	South King County	Downtown Seattle	Burien Transit Center	Conventional	False
2019-01-07	132	S	0	1.0	0.0	0.0	722.0	0.015403033078256387	0.009737459355227117	0.006088860532813217	0.02288237380375468	0.0011182767680715697	1259.0	South King County	Downtown Seattle	Burien Transit Center	Conventional	False
2019-01-07	143	N	0	1.0	0.0	0.0	259.0	0.002240896358543417	0.009453781512605041	0.0036181139122315594	0.0010614772224679346	0.013134306354120596	290.0	South King County	Downtown Seattle	Black Diamond	Conventional	False
2019-01-07	143	S	0	1.0	0.0	0.0	223.0	0.007426303854875283	0.004308390022675737	0.00101392938127632	0.00510204081632653	0.004988662131519274	244.0	South King County	Downtown Seattle	Black Diamond	Conventional	False
2019-01-07	148	N	0	1.0	0.0	0.0	112.0	0.01492098493201029	0.006688717383314957	0.002205071664829107	0.007166482910694598	0.0033076074972436605	311.0	South King County	Renton	Fairwood	Conventional	False
2019-01-07	150	N	0	1.0	0.0	0.0	435.0	0.018672424365227806	0.009865641578853177	0.0066463581769704225	0.02999460260469928	0.005080229411686132	724.0	South King County	Downtown Seattle	Kent Station	Conventional	False
2019-01-07	150	S	0	1.0	0.0	0.0	497.0	0.015376344086021506	0.007139016897081412	0.004863532524822848	0.03443613575966517	0.007723426425988095	848.0	South King County	Downtown Seattle	Kent Station	Conventional	False
2019-01-07	153	N	0	1.0	0.0	0.0	20.0	0.005917159763313609	0.0	0.0	0.03254437869822485	0.0	56.0	South King County	Kent Station	Renton	Conventional	False
2019-01-07	154	N	0	1.0	0.0	0.0	75.0	0.0017711840628507295	0.000925925925925926	0.0	0.018518518518518517	0.0	84.0	South King County	Federal Center South	Tukwila	Conventional	False
2019-01-07	154	S	0	1.0	0.0	0.0	45.0	0.002777777777777778	0.0	0.002777777777777778	0.012037037037037037	0.0	48.0	South King County	Federal Center South	Tukwila	Conventional	False
2019-01-07	156	E	0	0.0	0.0	0.0	82.0	0.006593406593406593	0.017582417582417582	0.004945054945054945	0.01465201465201465	0.007875457875457875	143.0	South King County	Highline College	Southcenter	Conventional	False
